zip_code,lat,lon
98144,47.5846,-122.3005
98106,47.5344,-122.3547
98107,47.6701,-122.3763
98199,47.6488,-122.3964
98102,47.6302,-122.321
98107,47.6701,-122.3763
98133,47.7377,-122.3431
98105,47.6633,-122.3022
98108,47.5413,-122.3129
98178,47.4924,-122.2359
98103,47.6733,-122.3426
98177,22.7912,-102.632
98103,47.6733,-122.3426
98115,47.6849,-122.2968
98199,47.6488,-122.3964
98133,47.7377,-122.3431
98103,47.6733,-122.3426
98122,47.6116,-122.3056
98119,47.6379,-122.3643
98117,47.6873,-122.3772
98199,47.6488,-122.3964
98116,47.5746,-122.3934
98133,47.7377,-122.3431
98146,47.4995,-122.3603
98133,47.7377,-122.3431
98103,47.6733,-122.3426
98109,47.6339,-122.3476
98117,47.6873,-122.3772
98125,47.717,-122.3015
98101,47.6114,-122.3305
98108,47.5413,-122.3129
98126,47.5444,-122.3735
98115,47.6849,-122.2968
98119,47.6379,-122.3643
98118,47.5412,-122.275
98101,47.6114,-122.3305
98146,47.4995,-122.3603
98133,47.7377,-122.3431
98199,47.6488,-122.3964
98102,47.6302,-122.321
98103,47.6733,-122.3426
98133,47.7377,-122.3431
98103,47.6733,-122.3426
98109,47.6339,-122.3476
98112,47.6301,-122.2972
98121,47.6151,-122.3447
98126,47.5444,-122.3735
98106,47.5344,-122.3547
98136,47.5398,-122.3878
98115,47.6849,-122.2968
98117,47.6873,-122.3772
98177,22.7912,-102.632
98126,47.5444,-122.3735
98199,47.6488,-122.3964
98103,47.6733,-122.3426
98136,47.5398,-122.3878
98112,47.6301,-122.2972
98122,47.6116,-122.3056
98125,47.717,-122.3015
98105,47.6633,-122.3022
98122,47.6116,-122.3056
98105,47.6633,-122.3022
98168,47.4889,-122.3012
98136,47.5398,-122.3878
98117,47.6873,-122.3772
98102,47.6302,-122.321
98117,47.6873,-122.3772
98119,47.6379,-122.3643
98103,47.6733,-122.3426
98103,47.6733,-122.3426
98117,47.6873,-122.3772
98178,47.4924,-122.2359
98115,47.6849,-122.2968
98106,47.5344,-122.3547
98102,47.6302,-122.321
98118,47.5412,-122.275
98104,47.6036,-122.3256
98168,47.4889,-122.3012
98118,47.5412,-122.275
98103,47.6733,-122.3426
98106,47.5344,-122.3547
98146,47.4995,-122.3603
98115,47.6849,-122.2968
98109,47.6339,-122.3476
98119,47.6379,-122.3643
98144,47.5846,-122.3005
98118,47.5412,-122.275
98115,47.6849,-122.2968
